id,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
0,0,0,0,0,0,0.9180936,0,0,0,0
1,0.014306708,0.014308962,0.014311923,0.014310248,0.014306085,0.4994347,0.3861048,0.014305117,0.014305696,0.014305734
2,0,0,0,0,0.040788036,0,0.88782567,0,0.061158936,0
3,0,0,0,0.028563665,0,0.053567387,0,0,0.9125557,0
4,0.20692107,0,0,0.7839912,0,0,0,0,0,0
5,0.13660014,0,0,0,0,0,0,0,0.8488724,0
6,0,0,0,0.0672559,0,0.19747292,0,0.72553396,0,0
7,0.4475949,0.020075494,0.020074584,0.020076148,0.020078165,0.3917989,0.020076739,0.020074483,0.02007551,0.02007507
8,0.28825036,0.24441129,0,0,0,0,0,0,0,0.4089201
9,0.09185511,0.06590968,0,0,0,0.83743733,0,0,0,0
10,0,0.97189325,0,0.020604184,0,0,0,0,0,0
11,0,0.42721736,0,0.5635137,0,0,0,0,0,0
12,0,0,0,0.33239657,0,0,0.6018723,0,0,0
13,0,0,0,0.90254706,0,0,0.09219491,0,0,0
14,0.4473973,0.20283562,0,0,0,0.10353897,0.011756289,0,0.18464528,0.04341954
15,0.113806546,0,0,0,0.5549417,0,0.14921562,0,0,0.17620815
16,0.01999629,0.019995386,0.019993601,0.8200346,0.020002522,0.019998394,0.019998027,0.01999306,0.019994602,0.019993512
17,0,0.32669577,0,0,0,0,0.5197036,0,0.12588413,0
18,0.40047017,0.0841916,0,0.03338791,0,0.08947896,0,0,0.28309608,0.10670559
19,0,0.28628492,0,0,0,0.33521023,0.3725163,0,0,0
20,0.067238905,0.92657644,0,0,0,0,0,0,0,0
21,0.026266,0,0,0.86212355,0.04659107,0,0,0,0.06093274,0
22,0,0.78108966,0,0,0,0,0.1831224,0,0,0.02931312
23,0,0.202115,0,0,0,0.34346318,0,0,0,0.4483447
24,0.1916663,0,0,0,0.2562789,0,0.19506249,0,0,0.34843513
25,0,0,0,0,0,0,0.9938719,0,0,0
26,0.010372265,0.010371232,0.010371066,0.010371705,0.010374152,0.9066503,0.010375262,0.010370712,0.010371268,0.010372038
27,0,0,0,0.02597448,0,0,0,0,0.96565574,0
28,0.022395212,0.022396611,0.022417953,0.022394983,0.7984055,0.022398073,0.022395626,0.022404566,0.022394981,0.022396464
29,0.59224427,0.16970012,0,0,0,0,0,0,0.11155786,0.12175425
30,0.013878616,0.013877762,0.013878451,0.013877636,0.5022423,0.013878044,0.013879429,0.013877826,0.013878011,0.38673186
31,0,0,0.42594123,0,0.27836594,0,0,0,0.21609789,0.075005874
32,0.370809,0.2933809,0,0,0,0.04950593,0.27733344,0,0,0
33,0.013992888,0.6043765,0.013992074,0.01399382,0.01399248,0.013995184,0.28367686,0.013992456,0.013994524,0.013993208
34,0,0.5775404,0,0,0,0.18087032,0,0.20501466,0,0
35,0.049581215,0,0,0.015204351,0,0,0.16035755,0.011253683,0.7589617,0
36,0,0.6096522,0,0.10412151,0.14039542,0,0,0,0,0.100600444
