id,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
91,0,0,0.46979603,0,0.50246,0,0,0,0.023331814,0
92,0,0,0,0,0.1625418,0,0,0,0.8340463,0
93,0,0,0.3149094,0.68001544,0,0,0,0,0,0
94,0.025026433,0.025023624,0.77477,0.02502635,0.02502732,0.025024941,0.02502523,0.025024887,0.025025798,0.025025392
95,0,0,0,0,0,0,0.9913337,0,0,0
96,0,0,0,0,0,0,0.8035663,0.18964401,0,0
97,0,0,0,0,0,0.9249417,0,0,0,0
98,0,0,0,0.5296476,0,0,0,0,0.45820734,0
99,0.90996134,0.010003506,0.010003991,0.010004448,0.010004767,0.010003773,0.010003925,0.010004477,0.010005106,0.01000463
100,0,0,0,0,0.25851202,0,0,0,0.73003924,0
101,0,0,0,0,0.1824979,0,0.8102836,0,0,0
102,0.020017238,0.020017732,0.02001795,0.8198429,0.02001837,0.020017738,0.020016836,0.02001629,0.020017833,0.020017164
103,0,0,0,0,0.8195276,0,0,0,0,0.17486835
104,0.20022754,0,0,0,0,0,0,0,0.7927362,0
105,0.72219867,0,0,0,0.27176818,0,0,0,0,0
106,0,0,0.98570454,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0.9872164
108,0,0,0.57856774,0,0,0,0,0.4162937,0,0
109,0,0,0,0,0,0,0,0.93566847,0,0
110,0.9917981,0,0,0,0,0,0,0,0,0
111,0,0,0.15927888,0,0.8175126,0,0.019419251,0,0,0
112,0,0,0,0.1628995,0,0,0.8321522,0,0,0
113,0,0,0.9914229,0,0,0,0,0,0,0
114,0,0,0,0,0,0.040247146,0,0,0.95477647,0
115,0.010013416,0.010013489,0.010013596,0.9098755,0.010013566,0.010014466,0.010014992,0.010013021,0.0100143645,0.01001358
116,0,0,0.30784538,0.68054384,0,0,0,0,0,0
117,0,0,0,0.08356039,0,0,0.91002214,0,0,0
118,0.22544776,0,0.2052819,0,0,0,0,0.2743037,0,0.2878822
119,0.014292565,0.014289672,0.8713794,0.014291537,0.014291549,0.014291477,0.014291385,0.014291349,0.014290894,0.014290194
120,0,0,0,0,0,0,0,0,0,0.9942238
121,0.011131881,0.011131316,0.8998158,0.011131426,0.011131662,0.0111317495,0.011131429,0.011131541,0.011131362,0.011131806
122,0,0,0,0,0,0.9399433,0,0,0,0
123,0.9099275,0.010008489,0.010007275,0.01000795,0.010007591,0.01000722,0.010007206,0.010007841,0.0100106215,0.010008304
124,0,0,0,0,0,0,0,0,0.93070364,0
125,0,0,0.9726983,0,0,0,0,0,0,0
126,0,0,0,0.22101496,0,0,0,0,0.77147645,0
127,0,0,0,0,0.13403589,0.8615215,0,0,0,0
128,0.014303763,0.014302676,0.014304982,0.014305183,0.014304605,0.014303403,0.014303679,0.014303477,0.8712646,0.014303678
129,0.90592855,0,0,0,0,0.086916216,0,0,0,0
130,0.91808295,0,0,0,0,0,0,0,0,0
131,0,0,0.21493414,0,0,0,0,0,0.77696145,0
132,0.3225214,0,0.66837156,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0.9948804,0,0
134,0,0,0,0,0,0,0,0,0,0.9470215
135,0.9361146,0,0,0,0,0,0,0,0.05993744,0
136,0,0,0,0,0.61210793,0,0.3817787,0,0,0
137,0.8036162,0,0,0,0,0,0,0,0,0.1915883
138,0,0,0,0,0,0.9181101,0,0,0,0
139,0,0,0.05074657,0,0.94526815,0,0,0,0,0
140,0.9180989,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0.9921614,0,0,0,0
142,0.016687276,0.016682502,0.016686603,0.016684247,0.016684145,0.016683854,0.8498394,0.016685301,0.016683742,0.016682958
143,0,0.013803502,0.34731284,0,0,0,0.63200474,0,0,0
144,0,0,0,0,0,0,0.86494195,0,0,0.1277702
145,0.010008219,0.010006916,0.90992606,0.010008134,0.010008998,0.010007937,0.010008304,0.010007986,0.010008022,0.010009383
146,0,0,0.9941107,0,0,0,0,0,0,0
147,0,0,0.9964903,0,0,0,0,0,0,0
148,0.9699704,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0.10900971,0,0,0,0.8859502
150,0,0,0,0,0.9436651,0,0,0,0,0
151,0.33562666,0,0,0,0.47509676,0,0,0,0.18571639,0
152,0,0,0,0,0,0,0,0.9921652,0,0
153,0,0,0,0,0,0,0,0,0,0.9639656
154,0.014298683,0.014298027,0.014301168,0.014298572,0.014298569,0.014298564,0.014298165,0.8713103,0.01429861,0.014299322
155,0.014308318,0.014306369,0.014307986,0.014306698,0.8712365,0.01430777,0.014306777,0.014306322,0.014306877,0.014306408
156,0,0,0,0,0,0.9949391,0,0,0,0
157,0,0,0,0.9951556,0,0,0,0,0,0
158,0,0,0.9249084,0,0,0,0,0,0,0
159,0,0,0.99261343,0,0,0,0,0,0,0
160,0.010013071,0.010013153,0.90988016,0.010013042,0.010013538,0.010013515,0.010013093,0.010012894,0.010013906,0.010013685
161,0.0111198025,0.011119302,0.011120339,0.011119253,0.011122601,0.011119443,0.01112013,0.01111974,0.011120187,0.8999193
162,0.97213113,0,0,0,0.023155196,0,0,0,0,0
163,0,0,0.9947573,0,0,0,0,0,0,0
164,0,0,0,0,0.99248403,0,0,0,0,0
165,0,0,0,0,0,0,0.99754894,0,0,0
166,0.01669199,0.016693272,0.016692689,0.84976524,0.016692614,0.016691951,0.016692013,0.016693043,0.016694088,0.016693072
167,0,0,0,0,0.99216646,0,0,0,0,0
168,0,0,0,0,0.99295664,0,0,0,0,0
169,0,0,0.9946392,0,0,0,0,0,0,0
170,0.1487231,0,0,0,0.4901591,0,0,0,0,0.35559607
171,0,0,0,0,0,0,0,0.9947457,0,0
172,0,0,0.24985512,0,0,0.745321,0,0,0,0
173,0.012516833,0.012516549,0.88735336,0.012514952,0.012516157,0.012515506,0.012516824,0.012516481,0.012517422,0.012515969
174,0.5534608,0,0,0,0,0.44055396,0,0,0,0
175,0,0,0,0,0.074559726,0,0,0.5945731,0,0.32599598
176,0,0,0,0,0,0,0,0,0,0.9921486
177,0,0.99374527,0,0,0,0,0,0,0,0
178,0,0,0.9940618,0,0,0,0,0,0,0
179,0.37566653,0,0,0,0.60763276,0,0,0,0,0
180,0,0,0,0,0.9939521,0,0,0,0,0
181,0.01251663,0.012516946,0.012517036,0.01251664,0.012517583,0.8873478,0.012516535,0.012516717,0.012517137,0.012516955
182,0.61918753,0.2512298,0,0,0,0,0,0,0.12210183,0
183,0.96783286,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0.9944694,0
185,0,0.98471737,0,0,0,0,0,0,0,0
186,0.774826,0.02502552,0.025019722,0.025023066,0.025018409,0.025017617,0.025015812,0.025015296,0.02501443,0.02502412
187,0.014294994,0.01429376,0.8713494,0.014295348,0.014294998,0.014294367,0.014294524,0.014293973,0.0142942155,0.014294395
188,0.94125825,0,0,0,0,0.050067637,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0.92494106
190,0.63781434,0,0.3568109,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0.7439246,0.086791605,0.16408727
192,0.99278885,0,0,0,0,0,0,0,0,0
193,0,0,0,0.9180546,0,0,0,0,0,0
194,0,0.9899858,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0.989646,0
196,0,0,0.84134656,0,0.09565379,0.056676302,0,0,0,0
197,0,0,0,0,0.8919425,0,0,0,0.04186518,0.061392404
198,0,0,0,0,0,0,0.98161674,0,0,0
199,0,0,0,0,0,0,0.94994754,0,0,0
200,0.0100127375,0.010012756,0.010014859,0.010014027,0.9098791,0.010013272,0.010013765,0.010012981,0.010013226,0.0100132115
201,0,0,0.5755333,0,0,0,0,0,0,0.42104337
202,0,0,0,0.63691306,0.18879853,0,0.16491416,0,0,0
203,0,0.99165905,0,0,0,0,0,0,0,0
204,0,0,0,0.992484,0,0,0,0,0,0
205,0,0.6588567,0.33446276,0,0,0,0,0,0,0
206,0.012509562,0.0125096785,0.8874114,0.0125094075,0.012510572,0.012509182,0.012510421,0.012509736,0.012509997,0.012510033
207,0.20608449,0,0,0.048952553,0,0.02026163,0.721236,0,0,0
208,0.76647943,0.22740142,0,0,0,0,0,0,0,0
209,0,0,0,0.26891163,0,0,0.72571313,0,0,0
210,0.91326094,0,0,0,0.08153488,0,0,0,0,0
211,0,0,0.92303735,0,0,0.06984651,0,0,0,0
212,0,0,0,0,0,0,0,0,0.9836228,0
213,0,0,0,0,0,0,0,0,0.99209636,0
214,0,0,0,0.38102007,0,0,0.5267496,0,0,0.08819759
215,0,0,0,0,0,0,0,0,0,0.99267524
216,0.012520428,0.012518894,0.012519752,0.0125196,0.88732374,0.012519246,0.0125206215,0.012519184,0.012519606,0.01251892
217,0,0,0,0,0,0.9249539,0,0,0,0
218,0,0,0,0,0.9922331,0,0,0,0,0
219,0,0,0.99519455,0,0,0,0,0,0,0
220,0,0,0.9946072,0,0,0,0,0,0,0
221,0.5759212,0.39148495,0,0,0,0,0,0,0,0.024338722
222,0,0,0,0,0,0,0,0.9885905,0,0
223,0.014300383,0.014300175,0.014300318,0.014300555,0.014301413,0.014300126,0.014300252,0.87129575,0.0143006,0.014300442
224,0,0,0,0.06828159,0.9187811,0,0,0,0,0
225,0.09127172,0,0,0,0,0,0,0.15577799,0,0.74833447
226,0,0,0,0,0,0,0,0,0.9940686,0
227,0,0,0.96894187,0,0,0,0,0,0,0
